1,0,7523,7522
0,1,4809,4809
1,0,12485,12484
1,0,26941,26940
0,1,86850,86850
0,1,16994,16994
0,1,38939,38939
1,0,14900,14899
1,0,8536,8535
0,1,1393,1393
0,1,11437,11437
1,0,21362,21361
0,1,6270,6270
0,1,10606,10606
1,0,30041,30040
0,1,10340,10340
1,0,13248,13247
0,1,39278,39278
0,1,4183,4183
0,1,15753,15753
1,0,59314,59313
0,1,11173,11173
0,1,10822,10822
0,1,9701,9701
0,1,50429,50429
0,1,19932,19932
0,1,9275,9275
1,0,27280,27279
1,0,76760,76759
1,0,10307,10306
0,1,3094,3094
1,0,5963,5962
0,1,1189,1189
0,1,17829,17829
1,0,864,863
1,0,7612,7611
0,1,2631,2631
1,0,2265,2264
0,1,27646,27646
0,1,4154,4154
0,1,3566,3566
0,1,61435,61435
1,0,11645,11644
0,1,10789,10789
0,1,5949,5949
0,1,54115,54115
0,1,67205,67205
1,0,4661,4660
1,0,47449,47448
1,0,3837,3836
1,0,37818,37817
0,1,11339,11339
1,0,16646,16645
1,0,11670,11669
0,1,1198,1198
0,1,13390,13390
0,1,6095,6095
1,0,3036,3035
1,0,6208,6207
0,1,7270,7270
1,0,9508,9507
1,0,2335,2334
0,1,53096,53096
0,1,12557,12557
1,0,2589,2588
0,1,19688,19688
1,0,1651,1650
1,0,5334,5333
0,1,6142,6142
0,1,14970,14970
1,0,27734,27733
1,0,19792,19791
1,0,26027,26026
1,0,28532,28531
0,1,12041,12041
1,0,3999,3998
0,1,9535,9535
0,1,3005,3005
1,0,31587,31586
0,1,7803,7803
0,1,91471,91471
0,1,13306,13306
0,1,2851,2851
1,0,1504,1503
0,1,965,965
1,0,5964,5963
1,0,3844,3843
0,1,22133,22133
0,1,14389,14389
1,0,48837,48836
0,1,31715,31715
0,1,10803,10803
1,0,4666,4665
0,1,40084,40084
1,0,26021,26020
1,0,27235,27234
0,1,5029,5029
0,1,2379,2379
1,0,25062,25061
0,1,21699,21699
1,0,33099,33098
0,1,1111,1111
